Masked Input[14]: ab, Masked Output[14]: f7
Masked Input[15]: be, Masked Output[15]: 46
Masked Input[0]: da, Masked Output[0]: 7c
Masked Input[1]: e0, Masked Output[1]: a3
Masked Input[2]: 35, Masked Output[2]: 6a
Masked Input[3]: dc, Masked Output[3]: 66
Masked Input[4]: ef, Masked Output[4]: b5
Masked Input[5]: c2, Masked Output[5]: 5c
Masked Input[6]: c4, Masked Output[6]: bf
Masked Input[7]: e2, Masked Output[7]: 5d
Masked Input[8]: 82, Masked Output[8]: b1
Masked Input[9]: 65, Masked Output[9]: 77
Masked Input[10]: db, Masked Output[10]: 30
Masked Input[11]: 2b, Masked Output[11]: e1
Masked Input[12]: 92, Masked Output[12]: 2f
Masked Input[13]: 9e, Masked Output[13]: e7
Masked Input[14]: f2, Masked Output[14]: 97
Masked Input[15]: c3, Masked Output[15]: 62
Masked Input[0]: 97, Masked Output[0]: f0
Masked Input[1]: 49, Masked Output[1]: 2a
Masked Input[2]: e6, Masked Output[2]: fa
Masked Input[3]: e9, Masked Output[3]: f1
Masked Input[4]: f7, Masked Output[4]: 2b
Masked Input[5]: e1, Masked Output[5]: f7
Masked Input[6]: 43, Masked Output[6]: 51
Masked Input[7]: 31, Masked Output[7]: e9
Masked Input[8]: 48, Masked Output[8]: 5d
Masked Input[9]: 18, Masked Output[9]: c3
Masked Input[10]: 19, Masked Output[10]: b9
Masked Input[11]: 52, Masked Output[11]: 3c
Masked Input[12]: 66, Masked Output[12]: f1
Masked Input[13]: 76, Masked Output[13]: 2b
Masked Input[14]: 8b, Masked Output[14]: a9
Masked Input[15]: 2a, Masked Output[15]: c2
Masked Input[0]: a3, Masked Output[0]: 9c
Masked Input[1]: cb, Masked Output[1]: f7
Masked Input[2]: 74, Masked Output[2]: 00
Masked Input[3]: af, Masked Output[3]: d8
Masked Input[4]: 4b, Masked Output[4]: 7c
Masked Input[5]: 35, Masked Output[5]: 91
Masked Input[6]: 2d, Masked Output[6]: 8a
Masked Input[7]: 3b, Masked Output[7]: 0f
Masked Input[8]: 12, Masked Output[8]: e1
Masked Input[9]: 97, Masked Output[9]: f4
Masked Input[10]: a2, Masked Output[10]: 8a
Masked Input[11]: 07, Masked Output[11]: bf
Masked Input[12]: 7b, Masked Output[12]: 42
Masked Input[13]: 28, Masked Output[13]: 82
Masked Input[14]: f8, Masked Output[14]: 1a
Masked Input[15]: 73, Masked Output[15]: 02
Masked Input[0]: 16, Masked Output[0]: 95
Masked Input[1]: ea, Masked Output[1]: 1c
Masked Input[2]: 89, Masked Output[2]: da
Masked Input[3]: a3, Masked Output[3]: 85
Masked Input[4]: 11, Masked Output[4]: e5
Masked Input[5]: ee, Masked Output[5]: a5
Masked Input[6]: 72, Masked Output[6]: 4c
Masked Input[7]: 41, Masked Output[7]: c0
Masked Input[8]: d5, Masked Output[8]: d1
Masked Input[9]: c7, Masked Output[9]: 09
Masked Input[10]: b1, Masked Output[10]: af
Masked Input[11]: ca, Masked Output[11]: 1e
Masked Input[12]: 38, Masked Output[12]: 65
Masked Input[13]: dc, Masked Output[13]: 3e
Masked Input[14]: 9b, Masked Output[14]: dc
Masked Input[15]: 10, Masked Output[15]: e8
Masked Input[0]: c7, Masked Output[0]: fb
Masked Input[1]: ca, Masked Output[1]: 4c
Masked Input[2]: 94, Masked Output[2]: 32
Masked Input[3]: f6, Masked Output[3]: ea
Masked Input[4]: 88, Masked Output[4]: ba
Masked Input[5]: 65, Masked Output[5]: 2d
Masked Input[6]: 52, Masked Output[6]: a0
Masked Input[7]: 8a, Masked Output[7]: 02
Masked Input[8]: 03, Masked Output[8]: 42
Masked Input[9]: 17, Masked Output[9]: 96
Masked Input[10]: 43, Masked Output[10]: 58
Masked Input[11]: 42, Masked Output[11]: 99
Masked Input[12]: 53, Masked Output[12]: 80
Masked Input[13]: 7e, Masked Output[13]: d7
Masked Input[14]: bd, Masked Output[14]: 34
Masked Input[15]: 70, Masked Output[15]: 83
Masked Input[0]: 31, Masked Output[0]: 94
Masked Input[1]: e9, Masked Output[1]: fe
Masked Input[2]: d5, Masked Output[2]: 28
Masked Input[3]: 9f, Masked Output[3]: d0
Masked Input[4]: b4, Masked Output[4]: 59
Masked Input[5]: a0, Masked Output[5]: f4
Masked Input[6]: 72, Masked Output[6]: 94
Masked Input[7]: a7, Masked Output[7]: f8
Masked Input[8]: 17, Masked Output[8]: 27
Masked Input[9]: f5, Masked Output[9]: ce
Masked Input[10]: 3c, Masked Output[10]: 5f
Masked Input[11]: f5, Masked Output[11]: 9d
Masked Input[12]: 85, Masked Output[12]: 6c
Masked Input[13]: 9b, Masked Output[13]: cb
Masked Input[14]: b4, Masked Output[14]: 0e
Masked Input[15]: 4b, Masked Output[15]: 48
Masked Input[0]: f6, Masked Output[0]: 87
